date,latitude,longitude,precipitacao_mm
2017-08-22,-31.5,289.0,0.0
2017-08-23,-31.5,289.0,0.0
2017-08-24,-31.5,289.0,0.0
2017-08-25,-31.5,289.0,0.0
2017-08-26,-31.5,289.0,0.0
2017-08-27,-31.5,289.0,0.0
2017-08-28,-31.5,289.0,0.0
2017-08-29,-31.5,289.0,0.0
2017-08-30,-31.5,289.0,0.0
2017-08-31,-31.5,289.0,0.0
2017-09-01,-31.5,289.0,0.0
2017-09-02,-31.5,289.0,0.0
2017-09-03,-31.5,289.0,0.0
2017-09-04,-31.5,289.0,0.0
2017-09-05,-31.5,289.0,0.0
2017-09-06,-31.5,289.0,0.0
2017-09-07,-31.5,289.0,0.0
2017-09-08,-31.5,289.0,0.0
2017-09-09,-31.5,289.0,0.19440001
2017-09-10,-31.5,289.0,4.3199997
2017-09-11,-31.5,289.0,0.0
2017-09-12,-31.5,289.0,0.0864
2017-09-13,-31.5,289.0,0.0
2017-09-14,-31.5,289.0,0.0
2017-09-15,-31.5,289.0,0.0
2017-09-16,-31.5,289.0,0.0
2017-09-17,-31.5,289.0,0.0
2017-09-18,-31.5,289.0,0.0
2017-09-19,-31.5,289.0,0.0
2017-09-20,-31.5,289.0,0.0
2017-09-21,-31.5,289.0,0.0
2017-09-22,-31.5,289.0,0.0
2017-09-23,-31.5,289.0,0.0
2017-09-24,-31.5,289.0,0.0
2017-09-25,-31.5,289.0,0.0
2017-09-26,-31.5,289.0,0.0
2017-09-27,-31.5,289.0,0.0
2017-09-28,-31.5,289.0,0.0216
2017-09-29,-31.5,289.0,0.0
2017-09-30,-31.5,289.0,3.7152002
2017-10-01,-31.5,289.0,0.0
2017-10-02,-31.5,289.0,0.0
2017-10-03,-31.5,289.0,0.0
2017-10-04,-31.5,289.0,0.0
2017-10-05,-31.5,289.0,3.5856
2017-10-06,-31.5,289.0,0.0
2017-10-07,-31.5,289.0,0.0
2017-10-08,-31.5,289.0,0.0
2017-10-09,-31.5,289.0,0.0
2017-10-10,-31.5,289.0,0.0
2017-10-11,-31.5,289.0,0.0
2017-10-12,-31.5,289.0,0.0
2017-10-13,-31.5,289.0,0.0
2017-10-14,-31.5,289.0,0.0
2017-10-15,-31.5,289.0,0.0
2017-10-16,-31.5,289.0,0.0
2017-10-17,-31.5,289.0,0.0
2017-10-18,-31.5,289.0,0.0
2017-10-19,-31.5,289.0,0.0
2017-10-20,-31.5,289.0,0.0
2017-10-21,-31.5,289.0,0.0
2017-10-22,-31.5,289.0,0.0
2017-10-23,-31.5,289.0,0.0
2017-10-24,-31.5,289.0,0.0
2017-10-25,-31.5,289.0,0.0
2017-10-26,-31.5,289.0,0.0
2017-10-27,-31.5,289.0,0.0
2017-10-28,-31.5,289.0,0.0
2017-10-29,-31.5,289.0,0.0
2017-10-30,-31.5,289.0,0.0
2017-10-31,-31.5,289.0,0.0
2017-11-01,-31.5,289.0,0.0
2017-11-02,-31.5,289.0,0.8424
2017-11-03,-31.5,289.0,0.0216
2017-11-04,-31.5,289.0,0.19440001
2017-11-05,-31.5,289.0,0.0
2017-11-06,-31.5,289.0,0.0
2017-11-07,-31.5,289.0,0.0
2017-11-08,-31.5,289.0,0.0864
2017-11-09,-31.5,289.0,0.0
2017-11-10,-31.5,289.0,0.0
2017-11-11,-31.5,289.0,0.0
2017-11-12,-31.5,289.0,0.0
2017-11-13,-31.5,289.0,0.0
2017-11-14,-31.5,289.0,0.0
2017-11-15,-31.5,289.0,0.0
2017-11-16,-31.5,289.0,0.0
2017-11-17,-31.5,289.0,0.0
2017-11-18,-31.5,289.0,0.0
2017-11-19,-31.5,289.0,0.0
2017-11-20,-31.5,289.0,0.0
2017-11-21,-31.5,289.0,0.0
2017-11-22,-31.5,289.0,0.0
2017-11-23,-31.5,289.0,0.0
2017-11-24,-31.5,289.0,0.0
2017-11-25,-31.5,289.0,0.0
2017-11-26,-31.5,289.0,0.0
2017-11-27,-31.5,289.0,0.0
2017-11-28,-31.5,289.0,0.0
2017-11-29,-31.5,289.0,0.0
2017-11-30,-31.5,289.0,0.0
2017-12-01,-31.5,289.0,0.0
2017-12-02,-31.5,289.0,0.0
2017-12-03,-31.5,289.0,0.0
2017-12-04,-31.5,289.0,0.0
2017-12-05,-31.5,289.0,0.0
2017-12-06,-31.5,289.0,0.0
2017-12-07,-31.5,289.0,0.0
2017-12-08,-31.5,289.0,0.0
2017-12-09,-31.5,289.0,0.0
2017-12-10,-31.5,289.0,0.0
2017-12-11,-31.5,289.0,0.0
2017-12-12,-31.5,289.0,0.0
2017-12-13,-31.5,289.0,0.0
2017-12-14,-31.5,289.0,0.0
2017-12-15,-31.5,289.0,0.0
2017-12-16,-31.5,289.0,0.0
2017-12-17,-31.5,289.0,0.0
2017-12-18,-31.5,289.0,0.0
2017-12-19,-31.5,289.0,0.0
2017-12-20,-31.5,289.0,0.0
2017-12-21,-31.5,289.0,0.0
2017-12-22,-31.5,289.0,0.0
2017-12-23,-31.5,289.0,0.0
2017-12-24,-31.5,289.0,0.0
2017-12-25,-31.5,289.0,0.0
2017-12-26,-31.5,289.0,0.0
2017-12-27,-31.5,289.0,0.0
2017-12-28,-31.5,289.0,0.0
2017-12-29,-31.5,289.0,0.0
2017-12-30,-31.5,289.0,0.0
2017-12-31,-31.5,289.0,0.0
